"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "PostCSS", "Markdown", "JavaScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\react\polity\src\features\groups\hooks\useRoleManagement.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 6, 14, 133
"c:\react\polity\src\features\groups\hooks\useSubscribeGroup.ts", "TypeScript", 0, 130, 0, 0, 0, 0, 0, 0, 0, 12, 16, 158
"c:\react\polity\src\features\groups\types\group.types.ts", "TypeScript", 0, 143, 0, 0, 0, 0, 0, 0, 0, 5, 12, 160
"c:\react\polity\src\features\groups\ui\ActiveMembersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 162, 0, 5, 5, 172
"c:\react\polity\src\features\groups\ui\ActiveRelationshipsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 167, 0, 5, 7, 179
"c:\react\polity\src\features\groups\ui\AddLinkDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 0, 5, 6, 84
"c:\react\polity\src\features\groups\ui\AddPaymentDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 358, 0, 8, 16, 382
"c:\react\polity\src\features\groups\ui\AddPositionDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 5, 145
"c:\react\polity\src\features\groups\ui\AddRoleDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 5, 4, 94
"c:\react\polity\src\features\groups\ui\AddTodoDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 6, 119
"c:\react\polity\src\features\groups\ui\AmendmentGroups.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 229, 0, 4, 10, 243
"c:\react\polity\src\features\groups\ui\AmendmentSearchAndFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 138, 0, 2, 7, 147
"c:\react\polity\src\features\groups\ui\AssignHolderDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 237, 0, 2, 14, 253
"c:\react\polity\src\features\groups\ui\BasicInfoSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 4, 50
"c:\react\polity\src\features\groups\ui\CreateDocumentDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 5, 8, 94
"c:\react\polity\src\features\groups\ui\DocumentEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 99, 0, 12, 11, 122
"c:\react\polity\src\features\groups\ui\DocumentHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 5, 61
"c:\react\polity\src\features\groups\ui\EditPositionDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 5, 116
